,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
434,Zhezkazgan,KZ,-0.29,47.8,67.71,42,0,8.21
435,Sidi Ali,DZ,46.24,36.1,0.42,91,0,2.06
436,Narasannapeta,IN,63.97,18.42,84.04,100,0,3.06
437,Jonesboro,US,39.07,35.84,-90.7,95,90,9.17
438,Astoria,US,46.04,46.19,-123.83,49,1,12.75
439,Milkovo,BG,30.2,41.53,24.68,100,90,5.82
440,Dongsheng,CN,37.38,29.72,112.52,99,92,18.72
441,Saint-Pierre,FR,53.62,48.95,4.24,100,90,13.87
442,Manaus,BR,78.8,-3.13,-59.98,88,75,4.7
443,Vestmannaeyjar,IS,43.05,63.44,-20.27,98,92,13.24
444,Ancud,CL,71.6,-41.87,-73.83,37,0,11.41
445,Penzance,GB,53.6,50.12,-5.53,100,90,20.8
446,Mchinji,MW,63.3,-13.8,32.89,91,64,3.51
447,Bandarbeyla,SO,80.08,9.49,50.81,100,92,9.44
448,Burley,US,25.3,42.54,-113.79,65,90,8.05
449,Shimanovsk,RU,-16.81,52,127.67,72,32,6.98
450,Blumberg,DE,47.28,47.84,8.53,87,75,2.24
451,Chernyshevskiy,RU,-19.64,63.01,112.47,84,68,5.97
452,Zhuzhou,CN,42.8,27.84,113.15,100,90,8.95
453,Vila do Maio,CV,73.4,15.13,-23.22,73,0,14.99
454,Buzmeyin,TM,42.8,38.05,58.21,93,75,4.7
455,Sola,FI,30.2,62.78,29.36,80,90,5.82
456,Comodoro Rivadavia,AR,75.2,-45.87,-67.48,25,0,10.29
457,Byron Bay,AU,68.67,-28.65,153.62,57,75,19.46
458,Boyabat,TR,33.33,41.47,34.77,99,92,2.62
459,Betsiamites,CA,17.6,48.94,-68.65,85,90,3.36
460,Ishigaki,JP,73.4,24.34,124.16,94,75,12.75
461,Sabang,PH,76.03,13.72,123.58,100,88,8.99
462,Pizhanka,RU,15.73,57.46,48.54,90,76,8.55
463,Ahipara,NZ,64.06,-35.17,173.16,80,0,8.55
464,Samarai,PG,82.56,-10.62,150.67,100,8,6.08
465,Bonnyville,CA,12.2,54.27,-110.74,85,5,10.29
466,Koumac,NC,75.45,-20.56,164.28,100,92,12.46
467,Morgan City,US,59.5,29.7,-91.21,64,1,6.93
468,Hasaki,JP,48.2,35.73,140.83,93,75,3.36
469,Dhidhdhoo,MV,80.8,6.88,73.1,100,48,6.42
470,Dwarka,IN,53.6,28.58,77.04,87,20,2.73
471,Lermontovka,RU,-13.16,47.15,134.34,61,0,7.99
472,Nantucket,US,37.96,41.28,-70.1,48,75,8.05
473,Ikungi,TZ,64.83,-5.13,34.77,87,20,9.66
474,Presidencia Roque Saenz Pena,AR,68.16,-26.79,-60.44,77,92,18.61
475,Eilenburg,DE,47.53,51.46,12.63,87,90,8.05
476,Mareeba,AU,80.6,-16.99,145.42,78,75,16.11
477,Sokolo,ML,73.33,14.74,-6.12,27,0,10.78
478,Nigran,ES,51.8,42.14,-8.81,100,90,1.12
479,Porto Novo,BR,71.6,-23.68,-45.44,78,20,11.41
480,Abilene,US,44.49,32.45,-99.73,65,90,11.41
481,Gatesville,US,52.34,31.44,-97.74,100,90,3.96
482,Clyde River,CA,-7.61,70.47,-68.59,83,20,3.36
483,Ostersund,SE,23,63.18,14.64,79,0,10.29
484,Natal,BR,82.4,-5.81,-35.21,78,40,10.29
485,Techiman,GH,74.01,7.58,-1.94,40,0,4.97
486,Moree,AU,69.8,-29.46,149.84,46,0,16.11
487,Villaviciosa,ES,50,43.48,-5.43,87,20,8.05
488,Granville,FR,54.54,48.84,-1.6,100,92,17.22
489,Sibolga,ID,67.75,1.74,98.78,100,92,1.05
490,Gat,SN,78.94,14.69,-16.54,61,0,11.41
491,Kudahuvadhoo,MV,82.06,2.67,72.89,100,44,5.53
492,Weyburn,CA,14.65,49.67,-103.85,89,80,9.44
493,Krasnyy Chikoy,RU,-15.5,50.36,108.75,62,32,5.08
494,Tagusao,PH,80.08,9.19,117.81,95,56,7.43
495,Khash,IR,35.08,28.22,61.21,70,0,4.18
496,Thai Binh,VN,73.4,20.45,106.33,94,64,5.82
497,Sarkand,KZ,0.48,45.41,79.91,59,12,2.39
498,Chubbuck,US,21.02,42.93,-112.47,73,40,6.93
499,Rostovka,RU,-4.01,55.02,73.58,76,75,6.71
500,Esbjerg,DK,48.2,55.47,8.45,100,92,14.99
501,Umarkhed,IN,64.65,19.6,77.69,91,8,1.95
502,Gornopravdinsk,RU,13.98,60.06,69.92,87,80,4.07
503,Union,US,43.83,47.36,-123.1,50,1,3.36
504,Coahuayana,MX,76.8,18.62,-100.35,63,92,1.95
505,Aswan,EG,60.8,24.09,32.9,48,0,4.7
506,Batagay-Alyta,RU,-40.97,67.8,130.41,0,0,2.73
507,Barabai,ID,74.41,-2.59,115.38,97,24,2.06
508,Tsiroanomandidy,MG,62.8,-18.77,46.05,93,64,2.62
509,Corn Island,NI,82.87,12.17,-83.04,98,80,21.3
510,Husavik,CA,-6.32,50.56,-96.99,87,0,7.09
511,Santa Ines,EC,69.8,-0.82,-78.63,73,40,6.93
512,Arcos de la Frontera,ES,54.75,36.75,-5.81,82,0,3.36
513,Pahalgam,IN,-0.61,34.03,75.33,68,8,2.17
514,Barentu,ER,61.86,15.11,37.59,71,0,3.4
515,Lata,IN,30.18,30.78,78.62,75,0,2.62
516,Henties Bay,NA,59.43,-22.12,14.28,100,64,6.64
517,Liverpool,GB,51.82,53.41,-2.98,93,75,3.36
518,Saurimo,AO,69.78,-9.66,20.4,90,48,2.62
519,Chumikan,RU,-8.66,54.72,135.31,65,76,16.04
520,Denia,ES,60.1,38.84,0.11,97,0,3.62
521,Dharchula,IN,26.98,29.85,80.53,94,0,1.39
522,Lagos,NG,82.4,6.46,3.39,83,20,8.21
523,Okhotsk,RU,26.31,59.36,143.24,77,80,22.75
524,Sukagawa,JP,32.16,37.29,140.32,86,20,3.06
525,Nanzhou,TW,71.67,22.49,120.51,94,40,6.93
526,Bereznik,RU,29.68,62.86,42.71,85,80,8.66
527,Moyale,ET,67.57,3.52,39.05,94,24,3.18
528,Kawalu,ID,68.83,-7.38,108.21,98,92,1.95
529,Tubuala,PA,87.8,9.52,-79.03,58,20,13.87
530,Pringsewu,ID,75.58,-5.36,104.98,94,44,1.5
531,Porto,PT,56.44,41.15,-8.61,93,75,2.24
532,Paamiut,GL,32.11,61.99,-49.67,92,88,2.17
533,Ossora,RU,28.24,59.24,163.07,93,92,20.62
534,Manbij,SY,48.2,36.53,37.96,93,75,3.36
535,Nauchnyy Gorodok,RU,-5.81,53.42,83.52,76,12,2.24
536,Cutro,IT,47.82,39.04,16.98,69,75,13.87
537,Margate,AU,71.6,-43.03,147.26,46,75,3.36
538,Marsh Harbour,BS,74.01,26.54,-77.06,100,32,14.14
539,Banyo,CM,72.66,6.75,11.81,37,0,9.22
540,Kaiyuan,CN,-4.16,42.54,124.04,53,0,8.21
541,Poum,MK,14.25,41.28,20.71,76,0,1.72
542,Viedma,AR,71.58,-40.81,-62.99,34,0,5.64
543,Grand Gaube,MU,73.4,-20.01,57.66,88,20,3.36
544,Sechura,PE,76.98,-5.56,-80.82,65,0,15.26
545,Salina,US,45,36.29,-95.15,88,90,10.29
546,Teya,MX,82.4,21.05,-89.07,61,40,4.7
547,Aksay,RU,32,47.27,39.86,98,90,4.47
548,Colmenar Viejo,ES,42.8,40.66,-3.77,100,0,2.24
549,Sivas,TR,35.6,39.75,37.01,93,75,6.93
550,Faya,SA,57.2,18.39,42.45,93,5,5.82
551,Plouzane,FR,53.6,48.38,-4.62,100,90,17.22
